Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,Telefone,Morada,CódigoPostal,DataNascimento,Email
Wilson Guerreiro-Amorim,Psicólogo,Casado,Masculino,Porto,Felgueiras,986684470,"Largo Tristão da Silva, 54
9633-474 Guimarães",4420-133,06/07/1982,wilson.guerreiro-amorim@hotmail.com
Jaime Neves,Médico,Viúvo,Masculino,Braga,Cabeceiras de Basto,985119803,"Alameda de Lourenço, 844
5535-247 Valbom",6607-190,19/03/1996,jaime.neves@sapo.pt
Mateus Cunha,Arquiteto,Divorciado,Masculino,Vila Real,Alijó,963493460,"R. Brito, 780
2985-779 Vizela",5187-178,22/06/1993,mateus.cunha@outlook.com
Samuel Alves,Cozinheiro,Divorciado,Masculino,Vila Real,Valpaços,960688041,"Rua Leite, S/N
4661-434 Póvoa de Santa Iria",7589-922,16/01/1973,samuel.alves@sapo.pt
João Assunção,Farmacêutico,Viúvo,Masculino,Braga,Braga,962127214,"Praça Martim Gomes, 75
4013-335 Valpaços",3403-097,21/01/1999,joão.assunção@yahoo.com
Diogo do Martins,Farmacêutico,Solteiro,Masculino,Castelo Branco,Vila Velha de Ródão,922047806,"Praça de Abreu, S/N
0575-681 Santana",1990-528,11/02/1968,diogo.martins@yahoo.com
Miguel Carneiro,Carpinteiro,Divorciado,Masculino,Braga,Guimarães,936801428,"R. de Nascimento, S/N
0958-960 Espinho",2223-641,14/05/1980,miguel.carneiro@outlook.com
Raquel da Carvalho,Aposentado,Casado,Feminino,Porto,Matosinhos,912204409,"Avenida Emma Henriques, 82
6161-272 Peso da Régua",3137-726,11/12/1956,raquel.carvalho@gmail.com
Ana Nogueira-Lourenço,Carpinteiro,Divorciado,Feminino,Braga,Cabeceiras de Basto,938899778,"Rua Alexandre Cruz, 47
2601-708 Marco de Canaveses",1223-316,20/08/1965,ana.nogueira-lourenço@yahoo.com
Joel Pinto,Estudante,Viúvo,Masculino,Viseu,Oliveira de Frades,951849506,"Avenida Barbosa, S/N
1534-528 Seixal",2637-835,24/04/2004,joel.pinto@outlook.com
Nádia Assunção,Engenheiro,Casado,Feminino,Porto,Amarante,944366053,"Praça António Oliveira, 286
9236-265 Tarouca",1388-537,04/07/1989,nádia.assunção@gmail.com
Matilde Rocha,Arquiteto,Viúvo,Feminino,Guarda,Celorico da Beira,927505504,"Avenida Núria Martins, 87
2930-973 Mirandela",2050-172,23/11/1978,matilde.rocha@outlook.com
Luísa Silva,Estudante,Viúvo,Feminino,Coimbra,Coimbra,919036810,"Praça Amaral, 562
0366-168 Pombal",0691-588,11/06/2008,luísa.silva@sapo.pt
Isaac Araújo,Técnico de Marketing,Viúvo,Masculino,Porto,Amarante,951408125,"Av Mia Neto, 31
0614-716 Ourém",3470-230,10/07/1994,isaac.araújo@sapo.pt
David Nogueira,Agricultor,Viúvo,Masculino,Viseu,Lamego,969728115,"R. Pinheiro, 312
0733-003 Ermesinde",0484-776,01/02/1994,david.nogueira@gmail.com
Camila Assunção,Motorista,Viúvo,Feminino,Viana do Castelo,Vila Nova de Cerveira,929833955,"Travessa de Jesus, 65
1633-269 Vila Nova de Gaia",5393-420,09/07/1999,camila.assunção@gmail.com
Valentim Matias,Aposentado,Solteiro,Masculino,Santarém,Santarém,976575342,"Av Barros, 53
2420-376 Alcácer do Sal",3142-137,30/04/1958,valentim.matias@outlook.com
Denis Soares,Agricultor,Divorciado,Masculino,Bragança,Miranda do Douro,913024541,"Av Ribeiro, 789
6437-310 Lourosa",7984-714,25/01/1974,denis.soares@yahoo.com
Bruna Mota,Analista de Dados,Casado,Feminino,Viana do Castelo,Ponte de Lima,999255937,"Av de Ribeiro, 16
8028-821 Gandra",0546-177,14/06/1981,bruna.mota@sapo.pt
Salomé-Eduarda Amaral,Rececionista,Divorciado,Feminino,Porto,Santo Tirso,922075925,"Av Almeida, 7
7566-728 Sabugal",0097-118,20/12/1981,salomé-eduarda.amaral@gmail.com
Marcos Tavares,Estudante,Viúvo,Masculino,Braga,Braga,930250751,"Rua Ema Almeida, 91
1328-500 Aveiro",0199-504,17/07/2002,marcos.tavares@outlook.com
Violeta Morais,Psicólogo,Divorciado,Feminino,Braga,Vizela,961610755,"Alameda de Pires, S/N
1644-127 Alcácer do Sal",1875-114,20/10/1966,violeta.morais@outlook.com
Leonardo Martins,Cozinheiro,Viúvo,Masculino,Porto,Vila Nova de Gaia,992574692,"Largo do Pinheiro, 81
7959-672 Caniço",8638-542,17/07/1965,leonardo.martins@outlook.com
António Jesus,Agricultor,Solteiro,Masculino,Porto,Póvoa de Varzim,901858321,"Av Fonseca, 6
8648-383 Ílhavo",8912-189,16/10/1994,antónio.jesus@sapo.pt
Luca Pinto,Gestor de Projetos,Solteiro,Masculino,Porto,Gondomar,943520769,"Largo Nunes, 6
4338-980 São Salvador de Lordelo",3010-087,04/10/1965,luca.pinto@outlook.com
Érica de Moreira,Psicólogo,Solteiro,Feminino,Évora,Alandroal,909138556,"Largo de Campos, 58
2350-103 Matosinhos",8820-759,24/04/1989,érica.moreira@yahoo.com
Nuno Tavares,Eletricista,Solteiro,Masculino,Porto,Matosinhos,902678421,"Alameda Luciana Cunha, 9
8308-883 Lixa",8260-926,26/01/1999,nuno.tavares@outlook.com
Patrícia Amorim-Neto,Motorista,Viúvo,Feminino,Vila Real,Vila Real,916443129,"Alameda Daniel Costa, 93
6529-623 Viseu",1247-351,28/05/1979,patrícia.amorim-neto@gmail.com
Mélanie Abreu,Engenheiro,Solteiro,Feminino,Vila Real,Vila Pouca de Aguiar,930202694,"Avenida República Argentina, 23
8177-106 São Mamede de Infesta",0218-542,17/04/1982,mélanie.abreu@hotmail.com
Gonçalo Figueiredo,Analista de Dados,Solteiro,Masculino,Viana do Castelo,Monção,904327207,"Travessa de Martins, S/N
9297-180 Esposende",5230-957,14/11/1972,gonçalo.figueiredo@outlook.com
Ana Barbosa,Carpinteiro,Viúvo,Feminino,Coimbra,Oliveira do Hospital,995126904,"Largo de S. Brás, 92
7264-700 Marinha Grande",8895-483,22/01/1972,ana.barbosa@yahoo.com
Íris Lourenço,Estudante,Casado,Feminino,Braga,Barcelos,952163085,"Rua Denis Sá, S/N
5641-016 Santa Maria da Feira",7170-777,01/03/2009,íris.lourenço@sapo.pt
Tatiana Almeida,Empregado de Limpeza,Solteiro,Feminino,Braga,Esposende,900805280,"R. de Vinte e Quatro de Agosto, 28
9308-818 Amadora",6915-392,15/11/2004,tatiana.almeida@sapo.pt
Leonardo Costa,Programador,Divorciado,Masculino,Santarém,Benavente,907960841,"Largo das Necessidades, 82
6512-488 Quarteira",6198-572,14/03/1968,leonardo.costa@gmail.com
Luca Tavares,Enfermeiro,Viúvo,Masculino,Coimbra,Figueira da Foz,954067769,"Praça de Andrade, 52
9040-292 Esposende",3558-764,02/06/1983,luca.tavares@hotmail.com
Carlota Araújo,Analista de Dados,Divorciado,Feminino,Braga,Amares,902177137,"Travessa de Amaral, 64
2129-135 Loures",9594-031,21/12/1982,carlota.araújo@hotmail.com
Denis Santos,Designer Gráfico,Solteiro,Masculino,Braga,Guimarães,992095421,"Av de Mendes, 9
0694-975 Almeirim",0837-344,11/07/1986,denis.santos@hotmail.com
Ricardo Pires,Analista de Dados,Solteiro,Masculino,Braga,Esposende,919953533,"Avenida de Andrade, 18
9265-082 Póvoa de Varzim",7942-493,20/11/1986,ricardo.pires@outlook.com
Paulo Figueiredo,Advogado,Divorciado,Masculino,Setúbal,Palmela,990974637,"Praça de Jesus, 8
6561-289 Valbom",0646-483,28/01/1986,paulo.figueiredo@outlook.com
Madalena Carvalho-Ferreira,Carpinteiro,Solteiro,Feminino,Vila Real,Chaves,989553772,"Avenida José António Marques, 73
9989-660 Mealhada",7776-814,14/11/1972,madalena.carvalho-ferreira@hotmail.com
Mário Matias,Gestor de Projetos,Divorciado,Masculino,Braga,Vizela,980965852,"Travessa de Gondomar, 9
2170-541 Fundão",5407-022,15/09/1995,mário.matias@hotmail.com
Soraia Esteves,Agricultor,Divorciado,Feminino,Braga,Fafe,967220694,"Rua Gonçalves, 58
3875-485 Pombal",5198-744,11/05/1975,soraia.esteves@hotmail.com
Filipe Vieira,Farmacêutico,Divorciado,Masculino,Braga,Guimarães,912345513,"Av de Fonseca, 74
8863-683 Gouveia",6950-806,11/02/1966,filipe.vieira@hotmail.com
Vasco Pereira,Psicólogo,Casado,Masculino,Viana do Castelo,Ponte da Barca,911530036,"Avenida de Miranda, 46
6037-337 Tavira",8515-275,26/11/1978,vasco.pereira@gmail.com
Íris-Ema Pinho,Comerciante,Solteiro,Feminino,Braga,Vila Nova de Famalicão,983222129,"R. Leonardo Simões, 53
6857-096 Câmara de Lobos",9145-059,31/03/1992,íris-ema.pinho@yahoo.com
Iara-Violeta Ribeiro,Engenheiro,Solteiro,Feminino,Aveiro,Albergaria-a-Velha,968042454,"Av Simões, S/N
6679-589 Valpaços",6082-369,19/06/1968,iara-violeta.ribeiro@outlook.com
João Sousa,Designer Gráfico,Solteiro,Masculino,Coimbra,Cantanhede,973797794,"Av de Cruz, 490
0765-905 Freamunde",2328-558,15/04/1993,joão.sousa@hotmail.com
Violeta Vaz,Advogado,Casado,Feminino,Braga,Amares,985363399,"Alameda Isabela Azevedo, 24
0387-783 Sintra",5006-796,25/01/1969,violeta.vaz@outlook.com
Luca Matias,Carpinteiro,Divorciado,Masculino,Vila Real,Mesão Frio,982359469,"Avenida Gaspar, 15
3058-787 Alverca do Ribatejo",9911-033,07/01/1992,luca.matias@hotmail.com
Bernardo Campos,Contabilista,Viúvo,Masculino,Coimbra,Coimbra,926294058,"Avenida de Cardoso, S/N
2393-039 Valbom",7134-614,31/01/1979,bernardo.campos@yahoo.com
Bianca-Lara Batista,Farmacêutico,Divorciado,Feminino,Viana do Castelo,Arcos de Valdevez,916768520,"Alameda Guerreiro, S/N
7909-912 Lixa",5633-066,24/06/2003,bianca-lara.batista@yahoo.com
Tomás Vieira,Rececionista,Viúvo,Masculino,Porto,Póvoa de Varzim,988035682,"Avenida da Raposa, S/N
9141-174 Gouveia",6611-614,06/07/1994,tomás.vieira@gmail.com
Mara-Daniela Castro,Farmacêutico,Solteiro,Feminino,Viana do Castelo,Viana do Castelo,962427157,"R. Cruz, 3
8519-587 Montemor-o-Novo",1165-343,13/03/1970,mara-daniela.castro@hotmail.com
Helena do Lopes,Aposentado,Viúvo,Feminino,Viana do Castelo,Vila Nova de Cerveira,994910290,"Travessa Ferreira de Mira, 8
2722-383 Torres Vedras",7265-857,08/01/1945,helena.lopes@yahoo.com
Juliana Vaz,Médico,Casado,Feminino,Porto,Valongo,992641515,"Avenida Laura Batista, S/N
8068-796 Vila Nova de Santo André",0520-132,03/11/1990,juliana.vaz@gmail.com
Rafaela Branco,Farmacêutico,Divorciado,Feminino,Faro,Tavira,961544020,"Avenida Miranda, 57
6083-904 Peniche",8096-849,30/05/1965,rafaela.branco@sapo.pt
Alícia Soares,Arquiteto,Divorciado,Feminino,Portalegre,Castelo de Vide,978269465,"Travessa de Almeida, S/N
3772-438 Oliveira do Hospital",3810-839,12/10/1990,alícia.soares@outlook.com
José Monteiro,Advogado,Divorciado,Masculino,Santarém,Cartaxo,959951974,"Largo de Faria, 94
5110-133 Ílhavo",8033-998,03/09/1966,josé.monteiro@sapo.pt
Raquel Baptista,Estudante,Casado,Feminino,Porto,Valongo,988482810,"Avenida de Vaz, 128
8497-635 Figueira da Foz",5912-968,07/05/2002,raquel.baptista@gmail.com
Mafalda Esteves-Mendes,Farmacêutico,Casado,Feminino,Braga,Celorico de Basto,927918776,"Largo Futebol Clube do Porto, 74
5492-511 Cartaxo",2159-332,10/06/1996,mafalda.esteves-mendes@gmail.com
Renata Andrade,Psicólogo,Casado,Feminino,Coimbra,Condeixa-a-Nova,984673573,"Rua de Pinheiro, S/N
8350-616 Caniço",1262-694,10/10/1975,renata.andrade@sapo.pt
Gabriel Andrade-Fonseca,Farmacêutico,Viúvo,Masculino,Bragança,Macedo de Cavaleiros,966718295,"Alameda Sul do Bairro da Encarnação, 3
7308-486 Castelo Branco",5396-834,26/04/2005,gabriel.andrade-fonseca@outlook.com
João Silva,Psicólogo,Solteiro,Masculino,Viana do Castelo,Vila Nova de Cerveira,931254237,"Alameda Ernesto Veiga de Oliveira, S/N
2035-531 Sabugal",7506-532,19/01/1997,joão.silva@yahoo.com
Álvaro do Gomes,Técnico de Marketing,Viúvo,Masculino,Braga,Vila Nova de Famalicão,932913034,"Travessa Pires, 23
5296-082 Mangualde",4690-802,04/12/1972,álvaro.gomes@hotmail.com
Sandro Martins,Farmacêutico,Viúvo,Masculino,Porto,Maia,916150067,"Largo dos Capitães de Abril, S/N
9250-307 Sines",2106-813,13/05/1994,sandro.martins@sapo.pt
Bruna Amorim,Professor,Casado,Feminino,Porto,Póvoa de Varzim,927354139,"Alameda de Carneiro, 4
5755-499 Lourosa",3708-913,06/11/1973,bruna.amorim@hotmail.com
Martim Pereira,Professor,Solteiro,Masculino,Braga,Fafe,967472301,"Largo Guerreiro, 3
8032-081 Guimarães",8992-699,13/02/1994,martim.pereira@sapo.pt
Iara Freitas,Farmacêutico,Divorciado,Feminino,Braga,Celorico de Basto,978565819,"Largo Costa, 95
5850-704 Seixal",6683-327,26/02/1972,iara.freitas@sapo.pt
Adriana Oliveira,Gestor de Projetos,Solteiro,Feminino,Porto,Porto,913050686,"Alameda de Macedo, 55
2507-312 Vila Nova de Foz Côa",7115-690,31/07/1976,adriana.oliveira@gmail.com
Flor Branco,Programador,Casado,Feminino,Setúbal,Sesimbra,912801277,"Rua dos Mastros, 140
6948-090 Sacavém",8217-972,08/09/1986,flor.branco@yahoo.com
Sara Ramos,Aposentado,Casado,Feminino,Braga,Vila Nova de Famalicão,927286815,"Rua Matos, 833
8344-049 Maia",9298-390,09/01/1959,sara.ramos@outlook.com
Noa Mota,Rececionista,Solteiro,Masculino,Porto,Valongo,995087544,"Largo de Martins, S/N
2871-773 Vila Nova de Santo André",1914-714,19/11/1989,noa.mota@gmail.com
Constança Fonseca,Designer Gráfico,Divorciado,Feminino,Leiria,Marinha Grande,931419798,"Rua dos Aventureiros, 15
7753-323 Covilhã",1504-640,28/05/1990,constança.fonseca@outlook.com
Daniela Nunes,Estudante,Casado,Feminino,Viseu,Viseu,990821584,"R. Marques, 488
6167-332 Chaves",5885-401,26/09/1955,daniela.nunes@sapo.pt
David Sousa,Programador,Viúvo,Masculino,Lisboa,Mafra,995799777,"R. das Virtudes, 58
6728-569 Fiães",4886-764,06/12/2001,david.sousa@hotmail.com
Isaac Pinto,Psicólogo,Casado,Masculino,Setúbal,Seixal,970496441,"Av de Campos, 9
4251-523 Porto Santo",5549-871,14/07/1985,isaac.pinto@yahoo.com
Samuel Amaral,Contabilista,Divorciado,Masculino,Braga,Vila Nova de Famalicão,912996095,"R. Alice Cruz, 29
2953-360 Ílhavo",2488-118,26/07/2003,samuel.amaral@outlook.com
Mia Mota,Estudante,Casado,Feminino,Viana do Castelo,Ponte de Lima,906258650,"Alameda Lourenço Valente, 46
8133-622 Silves",8418-902,02/07/2004,mia.mota@outlook.com
Martim Faria,Advogado,Divorciado,Masculino,Braga,Fafe,983307741,"Praça de Anjos, 665
7332-259 Tondela",8503-406,16/06/1988,martim.faria@sapo.pt
Marcos Maia,Designer Gráfico,Viúvo,Masculino,Braga,Barcelos,923671441,"R. dos Argonautas, 903
2073-716 Esposende",2739-042,11/01/1986,marcos.maia@hotmail.com
Maria-Luana Matos,Empregado de Limpeza,Divorciado,Feminino,Braga,Guimarães,976440675,"Travessa dos Jacarandás, 981
4188-934 Oliveira de Azeméis",9486-698,23/12/2000,maria-luana.matos@sapo.pt
Pilar Macedo,Empregado de Limpeza,Viúvo,Feminino,Braga,Vila Nova de Famalicão,937553635,"Largo de Henriques, 75
2033-759 Peso da Régua",1076-068,28/03/1987,pilar.macedo@outlook.com
Alice-Iara Lopes,Designer Gráfico,Divorciado,Feminino,Viana do Castelo,Viana do Castelo,910888757,"Alameda Renata Melo, 9
5106-856 Ribeira Grande",3790-735,20/08/1988,alice-iara.lopes@yahoo.com
Clara do Nogueira,Agricultor,Solteiro,Feminino,Braga,Vila Nova de Famalicão,985671685,"Alameda da Vitória, 984
1803-509 Câmara de Lobos",8272-647,25/07/1992,clara.nogueira@sapo.pt
Daniela Loureiro,Psicólogo,Casado,Feminino,Santarém,Santarém,976447920,"Travessa de Vieira, 13
2611-415 Póvoa de Varzim",2971-080,26/01/1990,daniela.loureiro@gmail.com
Martim Esteves,Gestor de Projetos,Viúvo,Masculino,Guarda,Manteigas,944490008,"Av Anjos, 381
6260-257 Fátima",5413-630,12/02/1988,martim.esteves@sapo.pt
Irina Vicente,Enfermeiro,Casado,Feminino,Porto,Santo Tirso,954543401,"Largo Alexandre Barbosa, 87
3278-873 Marinha Grande",8123-597,28/04/1994,irina.vicente@sapo.pt
Lucas Lourenço,Rececionista,Viúvo,Masculino,Porto,Felgueiras,951623702,"Av Norte do Bairro da Encarnação, S/N
8304-915 Montemor-o-Novo",5916-321,26/09/1973,lucas.lourenço@outlook.com
Francisco Carvalho,Programador,Viúvo,Masculino,Lisboa,Oeiras,940998181,"Alameda Carminho Moreira, S/N
2718-173 Póvoa de Varzim",7089-100,10/02/1980,francisco.carvalho@outlook.com
Débora Gomes,Estudante,Viúvo,Feminino,Castelo Branco,Oleiros,939230189,"Travessa Branco, 20
9121-625 Santarém",0313-106,25/07/2006,débora.gomes@outlook.com
Fernando Nunes,Eletricista,Casado,Masculino,Braga,Esposende,975789145,"Avenida Garcia, 756
8277-613 Valbom",7005-800,16/07/2002,fernando.nunes@gmail.com
Valentim do Macedo,Designer Gráfico,Solteiro,Masculino,Viana do Castelo,Viana do Castelo,941158556,"Av de Rodrigues, 8
7361-328 Espinho",5849-430,12/05/1994,valentim.macedo@yahoo.com
Bruno de Rodrigues,Rececionista,Casado,Masculino,Vila Real,Peso da Régua,956003099,"Rua Mafalda Abreu, 82
0065-284 Santiago do Cacém",0570-740,12/12/1980,bruno.rodrigues@outlook.com
Nuno Lima,Aposentado,Casado,Masculino,Coimbra,Soure,917345954,"Alameda de Pinho, 43
1478-701 Braga",3003-097,11/08/1948,nuno.lima@hotmail.com
Yara Figueiredo,Cozinheiro,Solteiro,Feminino,Braga,Amares,911006355,"Travessa Martins, 163
1511-804 Fiães",1569-656,22/06/1968,yara.figueiredo@gmail.com
Erica Amorim,Aposentado,Divorciado,Feminino,Santarém,Abrantes,953521577,"Travessa do Moreda, 5
4573-623 Ourém",9833-727,29/12/1954,erica.amorim@gmail.com
Rita de Domingues,Professor,Casado,Feminino,Porto,Porto,999774217,"Praça Neto, S/N
7219-647 Marinha Grande",1514-179,21/01/1967,rita.domingues@yahoo.com
Andreia Vaz,Farmacêutico,Casado,Feminino,Santarém,Santarém,969847219,"Largo Guerreiro, 448
6263-091 Bragança",9327-672,02/01/1972,andreia.vaz@yahoo.com
Sebastião Abreu,Médico,Casado,Masculino,Castelo Branco,Castelo Branco,955076340,"R. de Correia, 7
0152-699 Portalegre",5642-121,17/09/1977,sebastião.abreu@sapo.pt
Sandro Reis,Comerciante,Viúvo,Masculino,Porto,Felgueiras,903580431,"Travessa de S. Mamede, 77
9464-796 Santana",8198-999,24/02/1976,sandro.reis@outlook.com
Mateus Lourenço,Estudante,Divorciado,Masculino,Braga,Esposende,954091693,"Travessa de Antero de Quental, 996
3847-496 Setúbal",6850-366,23/03/2005,mateus.lourenço@sapo.pt
Kelly Moreira,Agricultor,Casado,Feminino,Setúbal,Alcácer do Sal,951386157,"Avenida de Andrade, 92
7293-040 Esposende",7303-910,17/06/2003,kelly.moreira@sapo.pt
Ivo Barros,Professor,Viúvo,Masculino,Porto,Amarante,948101195,"Rua de Carvalho, 62
8930-274 Sines",0868-097,08/11/1979,ivo.barros@sapo.pt
Melissa Melo,Eletricista,Solteiro,Feminino,Braga,Barcelos,950421030,"Avenida Matilde Carneiro, 50
1411-427 São João da Madeira",9401-520,20/06/1981,melissa.melo@outlook.com
Diego Almeida,Designer Gráfico,Viúvo,Masculino,Vila Real,Mondim de Basto,970979437,"Avenida William Abreu, 4
4435-734 Mêda",8896-360,19/02/1971,diego.almeida@yahoo.com
Rodrigo da Moura,Designer Gráfico,Casado,Masculino,Braga,Amares,913987061,"R. Brito, 7
1522-109 Costa da Caparica",8812-579,22/05/1999,rodrigo.moura@gmail.com
Henrique de Sá,Professor,Divorciado,Masculino,Braga,Fafe,942865792,"Alameda Pereira, 922
0781-407 Costa da Caparica",4674-802,03/06/1968,henrique.sá@gmail.com
Dinis Silva,Advogado,Casado,Masculino,Setúbal,Montijo,988789825,"Travessa Daniel Correia, 22
5995-658 Porto",3371-907,16/08/2004,dinis.silva@hotmail.com
Miriam Vaz,Contabilista,Divorciado,Feminino,Braga,Braga,988630659,"R. de Henriques, 716
8131-912 Queluz",3523-011,05/06/1982,miriam.vaz@outlook.com
Jaime Marques,Motorista,Viúvo,Masculino,Porto,Felgueiras,949341997,"Largo de Marques, 40
1545-388 Paredes",3694-542,10/10/1976,jaime.marques@sapo.pt
André Henriques,Enfermeiro,Viúvo,Masculino,Vila Real,Valpaços,986154424,"Travessa Pinheiro, 25
6521-404 Ermesinde",6774-130,22/01/1992,andré.henriques@sapo.pt
Nuno Figueiredo,Técnico de Marketing,Viúvo,Masculino,Porto,Santo Tirso,930073800,"Largo Sofia Almeida, S/N
1659-959 Quarteira",5575-050,05/09/1993,nuno.figueiredo@gmail.com
Artur do Pacheco,Rececionista,Casado,Masculino,Vila Real,Vila Pouca de Aguiar,937472010,"Rua de Pires, 782
0442-516 Ermesinde",9601-894,06/06/1990,artur.pacheco@gmail.com
Bruno Santos-Ribeiro,Agricultor,Solteiro,Masculino,Viana do Castelo,Arcos de Valdevez,986744032,"Alameda Costa, 880
5180-026 Olhão",0793-076,25/06/1987,bruno.santos-ribeiro@gmail.com
Carolina Magalhães,Comerciante,Divorciado,Feminino,Viana do Castelo,Valença,965953877,"R. João Cardoso, S/N
0266-622 São Mamede de Infesta",2879-035,05/02/1972,carolina.magalhães@sapo.pt
Kelly Gomes,Engenheiro,Casado,Feminino,Braga,Celorico de Basto,959548406,"Praça do Machado, 951
4638-641 Ovar",6357-134,19/10/1988,kelly.gomes@outlook.com
Bryan Correia,Programador,Viúvo,Masculino,Castelo Branco,Belmonte,911223498,"Praça Constança Pinheiro, 3
2271-546 Sines",8887-238,07/07/1986,bryan.correia@outlook.com
Patrícia Vaz-Domingues,Rececionista,Solteiro,Feminino,Porto,Gondomar,969810355,"Av Branco, 15
0764-169 Freamunde",3199-955,02/01/1987,patrícia.vaz-domingues@outlook.com
