Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,DataNascimento,Email,customer_id
Helena do Lopes,Aposentado,Viúvo,Feminino,Viana do Castelo,Vila Nova de Cerveira,08/01/1945,helena.lopes@yahoo.com,C179
Juliana Vaz,Médico,Casado,Feminino,Porto,Valongo,03/11/1990,juliana.vaz@gmail.com,C180
Rafaela Branco,Farmacêutico,Divorciado,Feminino,Faro,Tavira,30/05/1965,rafaela.branco@sapo.pt,C181
Alícia Soares,Arquiteto,Divorciado,Feminino,Portalegre,Castelo de Vide,12/10/1990,alícia.soares@outlook.com,C182
José Monteiro,Advogado,Divorciado,Masculino,Santarém,Cartaxo,03/09/1966,josé.monteiro@sapo.pt,C183
Raquel Baptista,Estudante,Casado,Feminino,Porto,Valongo,07/05/2002,raquel.baptista@gmail.com,C184
Mafalda Esteves-Mendes,Farmacêutico,Casado,Feminino,Braga,Celorico de Basto,10/06/1996,mafalda.esteves-mendes@gmail.com,C185
Renata Andrade,Psicólogo,Casado,Feminino,Coimbra,Condeixa-a-Nova,10/10/1975,renata.andrade@sapo.pt,C186
Gabriel Andrade-Fonseca,Farmacêutico,Viúvo,Masculino,Bragança,Macedo de Cavaleiros,26/04/2005,gabriel.andrade-fonseca@outlook.com,C187
João Silva,Psicólogo,Solteiro,Masculino,Viana do Castelo,Vila Nova de Cerveira,19/01/1997,joão.silva@yahoo.com,C188
Álvaro do Gomes,Técnico de Marketing,Viúvo,Masculino,Braga,Vila Nova de Famalicão,04/12/1972,álvaro.gomes@hotmail.com,C189
Sandro Martins,Farmacêutico,Viúvo,Masculino,Porto,Maia,13/05/1994,sandro.martins@sapo.pt,C190
Bruna Amorim,Professor,Casado,Feminino,Porto,Póvoa de Varzim,06/11/1973,bruna.amorim@hotmail.com,C191
Martim Pereira,Professor,Solteiro,Masculino,Braga,Fafe,13/02/1994,martim.pereira@sapo.pt,C192
Iara Freitas,Farmacêutico,Divorciado,Feminino,Braga,Celorico de Basto,26/02/1972,iara.freitas@sapo.pt,C193
Adriana Oliveira,Gestor de Projetos,Solteiro,Feminino,Porto,Porto,31/07/1976,adriana.oliveira@gmail.com,C194
Flor Branco,Programador,Casado,Feminino,Setúbal,Sesimbra,08/09/1986,flor.branco@yahoo.com,C195
Sara Ramos,Aposentado,Casado,Feminino,Braga,Vila Nova de Famalicão,09/01/1959,sara.ramos@outlook.com,C196
Noa Mota,Rececionista,Solteiro,Masculino,Porto,Valongo,19/11/1989,noa.mota@gmail.com,C197
Constança Fonseca,Designer Gráfico,Divorciado,Feminino,Leiria,Marinha Grande,28/05/1990,constança.fonseca@outlook.com,C198
Daniela Nunes,Estudante,Casado,Feminino,Viseu,Viseu,26/09/1955,daniela.nunes@sapo.pt,C199
David Sousa,Programador,Viúvo,Masculino,Lisboa,Mafra,06/12/2001,david.sousa@hotmail.com,C200
Isaac Pinto,Psicólogo,Casado,Masculino,Setúbal,Seixal,14/07/1985,isaac.pinto@yahoo.com,C201
Samuel Amaral,Contabilista,Divorciado,Masculino,Braga,Vila Nova de Famalicão,26/07/2003,samuel.amaral@outlook.com,C202
Mia Mota,Estudante,Casado,Feminino,Viana do Castelo,Ponte de Lima,02/07/2004,mia.mota@outlook.com,C203
Martim Faria,Advogado,Divorciado,Masculino,Braga,Fafe,16/06/1988,martim.faria@sapo.pt,C204
Marcos Maia,Designer Gráfico,Viúvo,Masculino,Braga,Barcelos,11/01/1986,marcos.maia@hotmail.com,C205
Maria-Luana Matos,Empregado de Limpeza,Divorciado,Feminino,Braga,Guimarães,23/12/2000,maria-luana.matos@sapo.pt,C206
Pilar Macedo,Empregado de Limpeza,Viúvo,Feminino,Braga,Vila Nova de Famalicão,28/03/1987,pilar.macedo@outlook.com,C207
Alice-Iara Lopes,Designer Gráfico,Divorciado,Feminino,Viana do Castelo,Viana do Castelo,20/08/1988,alice-iara.lopes@yahoo.com,C208
Clara do Nogueira,Agricultor,Solteiro,Feminino,Braga,Vila Nova de Famalicão,25/07/1992,clara.nogueira@sapo.pt,C209
Daniela Loureiro,Psicólogo,Casado,Feminino,Santarém,Santarém,26/01/1990,daniela.loureiro@gmail.com,C210
Martim Esteves,Gestor de Projetos,Viúvo,Masculino,Guarda,Manteigas,12/02/1988,martim.esteves@sapo.pt,C211
Irina Vicente,Enfermeiro,Casado,Feminino,Porto,Santo Tirso,28/04/1994,irina.vicente@sapo.pt,C212
Lucas Lourenço,Rececionista,Viúvo,Masculino,Porto,Felgueiras,26/09/1973,lucas.lourenço@outlook.com,C213
Francisco Carvalho,Programador,Viúvo,Masculino,Lisboa,Oeiras,10/02/1980,francisco.carvalho@outlook.com,C214
Débora Gomes,Estudante,Viúvo,Feminino,Castelo Branco,Oleiros,25/07/2006,débora.gomes@outlook.com,C215
Fernando Nunes,Eletricista,Casado,Masculino,Braga,Esposende,16/07/2002,fernando.nunes@gmail.com,C216
Valentim do Macedo,Designer Gráfico,Solteiro,Masculino,Viana do Castelo,Viana do Castelo,12/05/1994,valentim.macedo@yahoo.com,C217
Bruno de Rodrigues,Rececionista,Casado,Masculino,Vila Real,Peso da Régua,12/12/1980,bruno.rodrigues@outlook.com,C218
Nuno Lima,Aposentado,Casado,Masculino,Coimbra,Soure,11/08/1948,nuno.lima@hotmail.com,C219
Yara Figueiredo,Cozinheiro,Solteiro,Feminino,Braga,Amares,22/06/1968,yara.figueiredo@gmail.com,C220
Erica Amorim,Aposentado,Divorciado,Feminino,Santarém,Abrantes,29/12/1954,erica.amorim@gmail.com,C221
Rita de Domingues,Professor,Casado,Feminino,Porto,Porto,21/01/1967,rita.domingues@yahoo.com,C222
Andreia Vaz,Farmacêutico,Casado,Feminino,Santarém,Santarém,02/01/1972,andreia.vaz@yahoo.com,C223
Sebastião Abreu,Médico,Casado,Masculino,Castelo Branco,Castelo Branco,17/09/1977,sebastião.abreu@sapo.pt,C224
Sandro Reis,Comerciante,Viúvo,Masculino,Porto,Felgueiras,24/02/1976,sandro.reis@outlook.com,C225
Mateus Lourenço,Estudante,Divorciado,Masculino,Braga,Esposende,23/03/2005,mateus.lourenço@sapo.pt,C226
Kelly Moreira,Agricultor,Casado,Feminino,Setúbal,Alcácer do Sal,17/06/2003,kelly.moreira@sapo.pt,C227
Ivo Barros,Professor,Viúvo,Masculino,Porto,Amarante,08/11/1979,ivo.barros@sapo.pt,C228
Melissa Melo,Eletricista,Solteiro,Feminino,Braga,Barcelos,20/06/1981,melissa.melo@outlook.com,C229
Diego Almeida,Designer Gráfico,Viúvo,Masculino,Vila Real,Mondim de Basto,19/02/1971,diego.almeida@yahoo.com,C230
Rodrigo da Moura,Designer Gráfico,Casado,Masculino,Braga,Amares,22/05/1999,rodrigo.moura@gmail.com,C231
Henrique de Sá,Professor,Divorciado,Masculino,Braga,Fafe,03/06/1968,henrique.sá@gmail.com,C232
Dinis Silva,Advogado,Casado,Masculino,Setúbal,Montijo,16/08/2004,dinis.silva@hotmail.com,C233
Miriam Vaz,Contabilista,Divorciado,Feminino,Braga,Braga,05/06/1982,miriam.vaz@outlook.com,C234
Jaime Marques,Motorista,Viúvo,Masculino,Porto,Felgueiras,10/10/1976,jaime.marques@sapo.pt,C235
André Henriques,Enfermeiro,Viúvo,Masculino,Vila Real,Valpaços,22/01/1992,andré.henriques@sapo.pt,C236
Nuno Figueiredo,Técnico de Marketing,Viúvo,Masculino,Porto,Santo Tirso,05/09/1993,nuno.figueiredo@gmail.com,C237
Artur do Pacheco,Rececionista,Casado,Masculino,Vila Real,Vila Pouca de Aguiar,06/06/1990,artur.pacheco@gmail.com,C238
Bruno Santos-Ribeiro,Agricultor,Solteiro,Masculino,Viana do Castelo,Arcos de Valdevez,25/06/1987,bruno.santos-ribeiro@gmail.com,C239
Carolina Magalhães,Comerciante,Divorciado,Feminino,Viana do Castelo,Valença,05/02/1972,carolina.magalhães@sapo.pt,C240
Kelly Gomes,Engenheiro,Casado,Feminino,Braga,Celorico de Basto,19/10/1988,kelly.gomes@outlook.com,C241
Bryan Correia,Programador,Viúvo,Masculino,Castelo Branco,Belmonte,07/07/1986,bryan.correia@outlook.com,C242
Patrícia Vaz-Domingues,Rececionista,Solteiro,Feminino,Porto,Gondomar,02/01/1987,patrícia.vaz-domingues@outlook.com,C243
Bryan Machado,Técnico de Marketing,Divorciado,Masculino,Vila Real,Sabrosa,30/09/1978,bryan.machado@gmail.com,C244
Júlia Garcia,Médico,Solteiro,Feminino,Coimbra,Arganil,31/05/1995,júlia.garcia@gmail.com,C245
Nuno Maia,Estudante,Viúvo,Masculino,Bragança,Bragança,17/07/2005,nuno.maia@outlook.com,C246
António Miranda,Arquiteto,Viúvo,Masculino,Viana do Castelo,Valença,03/05/1992,antónio.miranda@yahoo.com,C247
António Nogueira,Enfermeiro,Viúvo,Masculino,Braga,Vila Nova de Famalicão,11/09/1972,antónio.nogueira@sapo.pt,C248
Helena Oliveira,Carpinteiro,Casado,Feminino,Braga,Amares,11/09/1996,helena.oliveira@hotmail.com,C249
Bernardo da Alves,Eletricista,Divorciado,Masculino,Porto,Santo Tirso,18/10/1986,bernardo.alves@sapo.pt,C250
Mara Freitas,Arquiteto,Divorciado,Feminino,Braga,Vizela,05/12/1979,mara.freitas@yahoo.com,C251
Ricardo Nogueira,Contabilista,Divorciado,Masculino,Porto,Póvoa de Varzim,06/11/1966,ricardo.nogueira@outlook.com,C252
Emília Abreu,Analista de Dados,Solteiro,Feminino,Vila Real,Mesão Frio,23/09/1975,emília.abreu@yahoo.com,C253
Mário Nunes,Engenheiro,Casado,Masculino,Braga,Cabeceiras de Basto,05/02/1997,mário.nunes@sapo.pt,C254
Carminho Lourenço-Miranda,Arquiteto,Solteiro,Feminino,Braga,Fafe,11/04/1998,carminho.lourenço-miranda@yahoo.com,C255
Sebastião Coelho,Médico,Solteiro,Masculino,Braga,Amares,08/10/1985,sebastião.coelho@outlook.com,C256
Bryan Tavares,Contabilista,Solteiro,Masculino,Castelo Branco,Belmonte,03/04/1970,bryan.tavares@yahoo.com,C257
Paulo Freitas,Programador,Viúvo,Masculino,Porto,Valongo,28/12/1967,paulo.freitas@sapo.pt,C258
Carolina Tavares,Comerciante,Solteiro,Feminino,Braga,Vila Nova de Famalicão,26/09/2004,carolina.tavares@sapo.pt,C259
Diego Barbosa,Técnico de Marketing,Divorciado,Masculino,Braga,Barcelos,12/06/1970,diego.barbosa@yahoo.com,C260
Rúben Mendes,Advogado,Viúvo,Masculino,Braga,Braga,11/02/2001,rúben.mendes@hotmail.com,C261
Joaquim Jesus,Aposentado,Viúvo,Masculino,Braga,Amares,25/06/1949,joaquim.jesus@outlook.com,C262
Valentina Valente-Borges,Técnico de Marketing,Solteiro,Feminino,Évora,Redondo,13/06/1993,valentina.valente-borges@yahoo.com,C263
Pedro do Lopes,Empregado de Limpeza,Casado,Masculino,Braga,Esposende,25/09/1983,pedro.lopes@hotmail.com,C264
Vítor Simões,Contabilista,Viúvo,Masculino,Braga,Braga,19/05/1981,vítor.simões@gmail.com,C265
William Vicente,Agricultor,Viúvo,Masculino,Aveiro,Murtosa,09/07/1994,william.vicente@outlook.com,C266
Gabriel Costa,Rececionista,Viúvo,Masculino,Lisboa,Vila Franca de Xira,15/12/1973,gabriel.costa@outlook.com,C267
Brian Faria,Empregado de Limpeza,Divorciado,Masculino,Viana do Castelo,Ponte de Lima,02/05/1985,brian.faria@sapo.pt,C268
Filipa Mota,Motorista,Divorciado,Feminino,Porto,Santo Tirso,07/11/1971,filipa.mota@outlook.com,C269
Diogo Simões,Professor,Casado,Masculino,Braga,Vizela,19/01/1974,diogo.simões@hotmail.com,C270
Íris da Assunção,Comerciante,Viúvo,Feminino,Aveiro,Anadia,08/08/1979,íris.assunção@gmail.com,C271
Tomé Miranda,Carpinteiro,Viúvo,Masculino,Braga,Barcelos,08/10/1989,tomé.miranda@outlook.com,C272
Clara de Abreu,Empregado de Limpeza,Divorciado,Feminino,Braga,Celorico de Basto,07/02/1995,clara.abreu@sapo.pt,C273
Amélia-Lia Martins,Técnico de Marketing,Casado,Feminino,Aveiro,Estarreja,06/10/1968,amélia-lia.martins@yahoo.com,C274
Gil Paiva,Designer Gráfico,Divorciado,Masculino,Braga,Celorico de Basto,29/05/1994,gil.paiva@gmail.com,C275
Vera Lopes-Azevedo,Programador,Solteiro,Feminino,Lisboa,Loures,23/10/2000,vera.lopes-azevedo@hotmail.com,C276
Dinis Esteves-Oliveira,Designer Gráfico,Solteiro,Masculino,Braga,Barcelos,21/01/1969,dinis.esteves-oliveira@yahoo.com,C277
Soraia Borges,Enfermeiro,Viúvo,Feminino,Setúbal,Palmela,25/08/1987,soraia.borges@sapo.pt,C278
Emanuel da Brito,Contabilista,Divorciado,Masculino,Braga,Celorico de Basto,21/12/1991,emanuel.brito@hotmail.com,C279
André de Santos,Estudante,Casado,Masculino,Braga,Barcelos,27/10/2007,andré.santos@outlook.com,C280
Nelson Barbosa,Comerciante,Casado,Masculino,Braga,Vizela,31/12/1989,nelson.barbosa@gmail.com,C281
Mauro Neto,Engenheiro,Viúvo,Masculino,Viana do Castelo,Monção,20/09/1981,mauro.neto@yahoo.com,C282
Gil Pinho-Moreira,Engenheiro,Viúvo,Masculino,Viana do Castelo,Arcos de Valdevez,04/09/1970,gil.pinho-moreira@hotmail.com,C283
Mário Matias,Farmacêutico,Divorciado,Masculino,Braga,Fafe,01/08/1992,mário.matias@gmail.com,C284
Melissa de Neves,Engenheiro,Solteiro,Feminino,Setúbal,Moita,14/05/1976,melissa.neves@sapo.pt,C285
Maria Garcia,Técnico de Marketing,Casado,Feminino,Braga,Fafe,27/09/1997,maria.garcia@gmail.com,C286
Ângelo Correia,Eletricista,Casado,Masculino,Braga,Celorico de Basto,08/10/1976,ângelo.correia@hotmail.com,C287
Luís do Matos,Farmacêutico,Solteiro,Masculino,Braga,Barcelos,27/11/2003,luís.matos@hotmail.com,C288
David Garcia,Cozinheiro,Solteiro,Masculino,Porto,Porto,14/05/1997,david.garcia@hotmail.com,C289
Helena Maia-Batista,Arquiteto,Viúvo,Feminino,Braga,Esposende,27/09/1971,helena.maia-batista@sapo.pt,C290
Eduardo Cardoso,Farmacêutico,Solteiro,Masculino,Viseu,Lamego,02/11/1999,eduardo.cardoso@gmail.com,C291
Larissa-Joana Simões,Gestor de Projetos,Divorciado,Feminino,Vila Real,Valpaços,16/03/1984,larissa-joana.simões@hotmail.com,C292
Patrícia Vaz,Empregado de Limpeza,Solteiro,Feminino,Viseu,Carregal do Sal,02/01/1975,patrícia.vaz@outlook.com,C293
Carlos Lima-Pinho,Designer Gráfico,Casado,Masculino,Vila Real,Alijó,05/10/2003,carlos.lima-pinho@outlook.com,C294
Diogo Vicente,Rececionista,Viúvo,Masculino,Porto,Santo Tirso,05/07/1985,diogo.vicente@gmail.com,C295
Margarida Jesus,Estudante,Casado,Feminino,Braga,Amares,04/09/2005,margarida.jesus@hotmail.com,C296
Violeta do Morais,Programador,Divorciado,Feminino,Viana do Castelo,Melgaço,13/06/1973,violeta.morais392@outlook.com,C297
Carlota do Brito,Psicólogo,Divorciado,Feminino,Braga,Vila Nova de Famalicão,11/02/2003,carlota.brito@sapo.pt,C298
Petra Marques-Amaral,Farmacêutico,Casado,Feminino,Viana do Castelo,Ponte da Barca,06/08/1979,petra.marques-amaral@outlook.com,C299
Luana Abreu,Eletricista,Viúvo,Feminino,Braga,Cabeceiras de Basto,07/08/2000,luana.abreu@gmail.com,C300
Naiara Batista,Contabilista,Solteiro,Feminino,Bragança,Mogadouro,26/01/1990,naiara.batista@sapo.pt,C301
Ariana Esteves-Mota,Psicólogo,Solteiro,Feminino,Castelo Branco,Fundão,27/10/1988,ariana.esteves-mota@gmail.com,C302
Marcos Mendes,Cozinheiro,Divorciado,Masculino,Guarda,Trancoso,13/10/1987,marcos.mendes@sapo.pt,C303
Manuel Costa,Técnico de Marketing,Solteiro,Masculino,Vila Real,Valpaços,30/11/2001,manuel.costa@sapo.pt,C304
Guilherme Monteiro,Empregado de Limpeza,Divorciado,Masculino,Braga,Barcelos,12/04/1969,guilherme.monteiro@hotmail.com,C305
Violeta Baptista,Rececionista,Viúvo,Feminino,Aveiro,Estarreja,20/05/1986,violeta.baptista@sapo.pt,C306
Wilson Gaspar,Designer Gráfico,Solteiro,Masculino,Braga,Vila Nova de Famalicão,20/12/1979,wilson.gaspar@hotmail.com,C307
Leandro Mota,Contabilista,Viúvo,Masculino,Guarda,Manteigas,12/11/1971,leandro.mota@outlook.com,C308
Luca Nunes,Contabilista,Divorciado,Masculino,Braga,Barcelos,02/06/1994,luca.nunes@gmail.com,C309
Bruno Vicente,Médico,Divorciado,Masculino,Porto,Maia,09/04/1991,bruno.vicente@outlook.com,C310
Lisandro Azevedo,Farmacêutico,Solteiro,Masculino,Braga,Guimarães,27/04/1995,lisandro.azevedo@gmail.com,C311
Manuel Faria,Técnico de Marketing,Solteiro,Masculino,Braga,Celorico de Basto,10/10/1973,manuel.faria@outlook.com,C312
Erika-Luana Tavares,Arquiteto,Viúvo,Feminino,Porto,Maia,13/02/1981,erika-luana.tavares@outlook.com,C313
Luna Vieira,Programador,Divorciado,Feminino,Braga,Vizela,29/10/1994,luna.vieira@outlook.com,C314
Alícia Paiva-Ribeiro,Carpinteiro,Solteiro,Feminino,Braga,Barcelos,27/07/1987,alícia.paiva-ribeiro@hotmail.com,C315
Alice Sá-Lourenço,Farmacêutico,Viúvo,Feminino,Braga,Braga,10/07/1991,alice.sá-lourenço@sapo.pt,C316
